channel,requested_freq_hz,requested_level,peak_bin_freq_hz,peak_bin_db,noise_floor_db,snr_db,locked,spec_avg_n,notes
accel_x,125.0,1.0,550.0,-53.27714538574219,-62.070526123046875,8.793380737304688,False,,floor step 0 (~0 dB rel. amp=1.0); attempt 1/3
accel_x,125.0,1.0,750.0,-52.62749481201172,-63.340789794921875,10.713294982910156,False,,floor step 0 (~0 dB rel. amp=1.0); attempt 2/3
accel_x,125.0,1.0,150.0,-51.66359329223633,-62.38380432128906,10.720211029052734,True,,floor step 0 (~0 dB rel. amp=1.0); attempt 3/3
accel_x,125.0,0.7079,250.0,-55.48995590209961,-63.35424041748047,7.864284515380859,False,,floor step 1 (~-3 dB rel. amp=1.0); attempt 1/3
accel_x,125.0,0.7079,150.0,-53.524383544921875,-62.9268798828125,9.402496337890625,True,,floor step 1 (~-3 dB rel. amp=1.0); attempt 2/3
accel_x,125.0,0.7079,150.0,-54.77682113647461,-62.399749755859375,7.622928619384766,True,,floor step 1 (~-3 dB rel. amp=1.0); attempt 3/3
accel_x,125.0,0.5011,150.0,-51.562644958496094,-61.91006088256836,10.347415924072266,True,,floor step 2 (~-6 dB rel. amp=1.0); attempt 1/3
accel_x,125.0,0.5011,450.0,-49.40038299560547,-62.3292236328125,12.928840637207031,False,,floor step 2 (~-6 dB rel. amp=1.0); attempt 2/3
accel_x,125.0,0.5011,450.0,-53.10832595825195,-62.229454040527344,9.12112808227539,False,,floor step 2 (~-6 dB rel. amp=1.0); attempt 3/3
accel_x,125.0,0.3547,350.0,-53.18421173095703,-63.18490982055664,10.00069808959961,False,,floor step 3 (~-9 dB rel. amp=1.0); attempt 1/3
accel_x,125.0,0.3547,1050.0,-53.71356964111328,-63.24346923828125,9.529899597167969,False,,floor step 3 (~-9 dB rel. amp=1.0); attempt 2/3
accel_x,125.0,0.3547,750.0,-52.65592575073242,-63.483619689941406,10.827693939208984,False,,floor step 3 (~-9 dB rel. amp=1.0); attempt 3/3
accel_x,125.0,0.2511,350.0,-52.10794448852539,-61.58457946777344,9.476634979248047,False,,floor step 4 (~-12 dB rel. amp=1.0); attempt 1/3
accel_x,125.0,0.2511,150.0,-52.2459716796875,-62.538394927978516,10.292423248291016,True,,floor step 4 (~-12 dB rel. amp=1.0); attempt 2/3
accel_x,125.0,0.2511,750.0,-51.09811782836914,-61.469512939453125,10.371395111083984,False,,floor step 4 (~-12 dB rel. amp=1.0); attempt 3/3
accel_x,125.0,0.1778,1050.0,-53.52020263671875,-61.47462844848633,7.954425811767578,False,,floor step 5 (~-15 dB rel. amp=1.0); attempt 1/3
accel_x,125.0,0.1778,150.0,-50.27839279174805,-62.02361297607422,11.745220184326172,True,,floor step 5 (~-15 dB rel. amp=1.0); attempt 2/3
accel_x,125.0,0.1778,1550.0,-52.96366882324219,-62.18108367919922,9.217414855957031,False,,floor step 5 (~-15 dB rel. amp=1.0); attempt 3/3
accel_x,125.0,0.1258,850.0,-53.43419647216797,-61.50048065185547,8.0662841796875,False,,floor step 6 (~-18 dB rel. amp=1.0); attempt 1/3
accel_x,125.0,0.1258,750.0,-50.8030891418457,-62.67988204956055,11.876792907714844,False,,floor step 6 (~-18 dB rel. amp=1.0); attempt 2/3
accel_x,125.0,0.1258,2550.0,-53.954524993896484,-62.809539794921875,8.85501480102539,False,,floor step 6 (~-18 dB rel. amp=1.0); attempt 3/3
accel_x,125.0,0.0891,550.0,-53.3710823059082,-62.675575256347656,9.304492950439453,False,,floor step 7 (~-21 dB rel. amp=1.0); attempt 1/3
accel_x,125.0,0.0891,450.0,-52.95037841796875,-61.98381042480469,9.033432006835938,False,,floor step 7 (~-21 dB rel. amp=1.0); attempt 2/3
accel_x,125.0,0.0891,250.0,-53.699005126953125,-62.669315338134766,8.97031021118164,False,,floor step 7 (~-21 dB rel. amp=1.0); attempt 3/3
accel_x,125.0,0.0631,550.0,-53.63428497314453,-61.54206085205078,7.90777587890625,False,,floor step 8 (~-24 dB rel. amp=1.0); attempt 1/3
accel_x,125.0,0.0631,950.0,-53.112083435058594,-62.00334167480469,8.891258239746094,False,,floor step 8 (~-24 dB rel. amp=1.0); attempt 2/3
accel_x,125.0,0.0631,50.0,-52.49808883666992,-61.03925323486328,8.54116439819336,True,,floor step 8 (~-24 dB rel. amp=1.0); attempt 3/3
accel_x,125.0,0.0446,650.0,-51.35968017578125,-61.88650131225586,10.52682113647461,False,,floor step 9 (~-27 dB rel. amp=1.0); attempt 1/3
accel_x,125.0,0.0446,650.0,-53.830726623535156,-62.2867546081543,8.45602798461914,False,,floor step 9 (~-27 dB rel. amp=1.0); attempt 2/3
accel_x,125.0,0.0446,150.0,-53.56472396850586,-62.487274169921875,8.922550201416016,True,,floor step 9 (~-27 dB rel. amp=1.0); attempt 3/3
accel_x,125.0,0.0316,750.0,-53.206382751464844,-62.140689849853516,8.934307098388672,False,,floor step 10 (~-30 dB rel. amp=1.0); attempt 1/3
accel_x,125.0,0.0316,250.0,-50.087337493896484,-62.054649353027344,11.96731185913086,False,,floor step 10 (~-30 dB rel. amp=1.0); attempt 2/3
accel_x,125.0,0.0316,150.0,-51.483123779296875,-61.910404205322266,10.42728042602539,True,,floor step 10 (~-30 dB rel. amp=1.0); attempt 3/3
