channel,requested_freq_hz,requested_level,peak_bin_freq_hz,peak_bin_db,noise_floor_db,snr_db,locked,spec_avg_n,notes
mic,100.0,1.0,5343.75,-67.28028106689453,-69.97795104980469,2.6976699829101562,False,,ceiling coarse; attempt 1/3
mic,100.0,1.0,2156.25,-70.24108123779297,-73.14268493652344,2.9016036987304688,False,,ceiling coarse; attempt 2/3
mic,100.0,1.0,6968.75,-66.12387084960938,-68.49491882324219,2.3710479736328125,False,,ceiling coarse; attempt 3/3
mic,350.0,1.0,343.75,-76.35884857177734,-103.06621551513672,26.707366943359375,True,,ceiling coarse; attempt 1/3
mic,350.0,1.0,5718.75,-74.18631744384766,-80.61593627929688,6.429618835449219,False,,ceiling coarse; attempt 2/3
mic,350.0,1.0,31.25,-68.98321533203125,-73.34069061279297,4.357475280761719,False,,ceiling coarse; attempt 3/3
mic,600.0,1.0,593.75,-59.341224670410156,-73.66047668457031,14.319252014160156,True,,ceiling coarse; attempt 1/3
mic,600.0,1.0,593.75,-59.524742126464844,-73.17121124267578,13.646469116210938,True,,ceiling coarse; attempt 2/3
mic,600.0,1.0,593.75,-59.850345611572266,-103.11092376708984,43.26057815551758,True,,ceiling coarse; attempt 3/3
mic,850.0,1.0,843.75,-75.63749694824219,-84.56166076660156,8.924163818359375,True,,ceiling coarse; attempt 1/3
mic,850.0,1.0,4968.75,-69.175048828125,-72.96392059326172,3.7888717651367188,False,,ceiling coarse; attempt 2/3
mic,850.0,1.0,281.25,-68.47200012207031,-72.32388305664062,3.8518829345703125,False,,ceiling coarse; attempt 3/3
mic,1100.0,1.0,1093.75,-66.60614013671875,-84.13916015625,17.53302001953125,True,,ceiling coarse; attempt 1/3
mic,1100.0,1.0,1093.75,-67.11817932128906,-102.9465560913086,35.82837677001953,True,,ceiling coarse; attempt 2/3
mic,1100.0,1.0,1093.75,-67.22659301757812,-77.86811065673828,10.641517639160156,True,,ceiling coarse; attempt 3/3
mic,1350.0,1.0,1343.75,-57.71717834472656,-75.26892852783203,17.55175018310547,True,,ceiling coarse; attempt 1/3
mic,1350.0,1.0,1343.75,-58.26686096191406,-74.818359375,16.551498413085938,True,,ceiling coarse; attempt 2/3
mic,1350.0,1.0,1343.75,-58.01914596557617,-85.96395874023438,27.944812774658203,True,,ceiling coarse; attempt 3/3
mic,1600.0,1.0,5906.25,-70.5350570678711,-74.90205383300781,4.366996765136719,False,,ceiling coarse; attempt 1/3
mic,1600.0,1.0,1593.75,-71.02621459960938,-74.67330169677734,3.6470870971679688,False,,ceiling coarse; attempt 2/3
mic,1600.0,1.0,1593.75,-68.83343505859375,-75.79763793945312,6.964202880859375,True,,ceiling coarse; attempt 3/3
mic,1850.0,1.0,1843.75,-53.331077575683594,-102.28766632080078,48.95658874511719,True,,ceiling coarse; attempt 1/3
mic,1850.0,1.0,1843.75,-53.401641845703125,-101.77987670898438,48.37823486328125,True,,ceiling coarse; attempt 2/3
mic,1850.0,1.0,1843.75,-53.31801986694336,-75.26190185546875,21.94388198852539,True,,ceiling coarse; attempt 3/3
mic,2100.0,1.0,2093.75,-45.784549713134766,-70.74240112304688,24.95785140991211,True,,ceiling coarse; attempt 1/3
mic,2100.0,1.0,2093.75,-45.83797836303711,-85.446044921875,39.60806655883789,True,,ceiling coarse; attempt 2/3
mic,2100.0,1.0,2093.75,-45.91686248779297,-102.69425964355469,56.77739715576172,True,,ceiling coarse; attempt 3/3
mic,2350.0,1.0,2343.75,-48.46012878417969,-69.11648559570312,20.656356811523438,True,,ceiling coarse; attempt 1/3
mic,2350.0,1.0,2343.75,-49.0602912902832,-71.62676239013672,22.566471099853516,True,,ceiling coarse; attempt 2/3
mic,2350.0,1.0,2343.75,-49.17531967163086,-71.81655883789062,22.641239166259766,True,,ceiling coarse; attempt 3/3
mic,2600.0,1.0,2593.75,-52.20011901855469,-78.66697692871094,26.46685791015625,True,,ceiling coarse; attempt 1/3
