channel,requested_freq_hz,requested_level,peak_bin_freq_hz,peak_bin_db,noise_floor_db,snr_db,locked,spec_avg_n,notes
mic,100.0,1.0,31.25,-76.66899871826172,-81.74069213867188,5.071693420410156,False,,low-band fine; attempt 1/3
mic,100.0,1.0,7093.75,-67.45915985107422,-70.00959014892578,2.5504302978515625,False,,low-band fine; attempt 2/3
mic,100.0,1.0,31.25,-75.85449981689453,-104.1085205078125,28.25402069091797,False,,low-band fine; attempt 3/3
mic,200.0,1.0,31.25,-80.09649658203125,-87.73878479003906,7.6422882080078125,False,,low-band fine; attempt 1/3
mic,200.0,1.0,218.75,-70.68465423583984,-75.27143096923828,4.5867767333984375,False,,low-band fine; attempt 2/3
mic,200.0,1.0,93.75,-70.10364532470703,-73.03913116455078,2.93548583984375,False,,low-band fine; attempt 3/3
mic,300.0,1.0,1781.25,-66.85313415527344,-69.95231628417969,3.09918212890625,False,,low-band fine; attempt 1/3
mic,300.0,1.0,281.25,-77.49874877929688,-104.63948059082031,27.140731811523438,True,,low-band fine; attempt 2/3
mic,300.0,1.0,281.25,-77.25930786132812,-84.42313385009766,7.163825988769531,True,,low-band fine; attempt 3/3
mic,400.0,1.0,7218.75,-59.14990234375,-64.11907958984375,4.96917724609375,False,,low-band fine; attempt 1/3
mic,400.0,1.0,406.25,-69.32527923583984,-72.70501708984375,3.3797378540039062,False,,low-band fine; attempt 2/3
mic,400.0,1.0,406.25,-76.12213134765625,-88.31857299804688,12.196441650390625,True,,low-band fine; attempt 3/3
mic,500.0,1.0,531.25,-68.97522735595703,-88.35992431640625,19.38469696044922,True,,low-band fine; attempt 1/3
mic,500.0,1.0,2093.75,-68.92352294921875,-72.51929473876953,3.5957717895507812,False,,low-band fine; attempt 2/3
mic,500.0,1.0,531.25,-68.38907623291016,-73.047119140625,4.658042907714844,False,,low-band fine; attempt 3/3
mic,600.0,1.0,593.75,-56.47005081176758,-87.20714569091797,30.73709487915039,True,,low-band fine; attempt 1/3
mic,600.0,1.0,593.75,-56.561058044433594,-103.51765441894531,46.95659637451172,True,,low-band fine; attempt 2/3
mic,600.0,1.0,593.75,-56.783485412597656,-62.08427047729492,5.300785064697266,False,,low-band fine; attempt 3/3
mic,700.0,1.0,718.75,-47.5635986328125,-67.80230712890625,20.23870849609375,True,,low-band fine; attempt 1/3
mic,700.0,1.0,718.75,-47.6036262512207,-103.73124694824219,56.127620697021484,True,,low-band fine; attempt 2/3
mic,700.0,1.0,718.75,-47.53434753417969,-83.36052703857422,35.82617950439453,True,,low-band fine; attempt 3/3
mic,800.0,1.0,781.25,-61.63861083984375,-74.66377258300781,13.025161743164062,True,,low-band fine; attempt 1/3
mic,800.0,1.0,781.25,-61.20964431762695,-73.24034118652344,12.030696868896484,True,,low-band fine; attempt 2/3
mic,800.0,1.0,781.25,-62.41794967651367,-78.76783752441406,16.34988784790039,True,,low-band fine; attempt 3/3
mic,900.0,1.0,906.25,-74.66046905517578,-104.23922729492188,29.578758239746094,True,,low-band fine; attempt 1/3
mic,900.0,1.0,6843.75,-62.26513671875,-66.93275451660156,4.6676177978515625,False,,low-band fine; attempt 2/3
mic,900.0,1.0,3406.25,-58.84379959106445,-61.22116470336914,2.3773651123046875,False,,low-band fine; attempt 3/3
mic,1000.0,1.0,1031.25,-70.70558166503906,-75.85020446777344,5.144622802734375,False,,low-band fine; attempt 1/3
mic,1000.0,1.0,1031.25,-76.01270294189453,-104.04429626464844,28.031593322753906,True,,low-band fine; attempt 2/3
mic,1000.0,1.0,1031.25,-73.41242218017578,-82.54336547851562,9.130943298339844,True,,low-band fine; attempt 3/3
mic,1100.0,1.0,4781.25,-62.647315979003906,-65.07170104980469,2.4243850708007812,False,,low-band fine; attempt 1/3
mic,1100.0,1.0,1093.75,-67.38298034667969,-78.03618621826172,10.653205871582031,True,,low-band fine; attempt 2/3
mic,1100.0,1.0,1093.75,-67.40616607666016,-86.13839721679688,18.73223114013672,True,,low-band fine; attempt 3/3
mic,1200.0,1.0,1218.75,-64.95858001708984,-104.52518463134766,39.56660461425781,True,,low-band fine; attempt 1/3
mic,1200.0,1.0,1218.75,-65.0125732421875,-73.88522338867188,8.872650146484375,True,,low-band fine; attempt 2/3
mic,1200.0,1.0,1218.75,-66.02111053466797,-77.87503051757812,11.853919982910156,True,,low-band fine; attempt 3/3
mic,1300.0,1.0,1281.25,-69.13884735107422,-103.21399688720703,34.07514953613281,True,,low-band fine; attempt 1/3
mic,1300.0,1.0,1281.25,-69.15615844726562,-103.37028503417969,34.21412658691406,True,,low-band fine; attempt 2/3
mic,1300.0,1.0,1281.25,-67.1063003540039,-73.63764190673828,6.531341552734375,True,,low-band fine; attempt 3/3
mic,1400.0,1.0,1406.25,-59.54828643798828,-72.50749206542969,12.959205627441406,True,,low-band fine; attempt 1/3
mic,1400.0,1.0,1406.25,-59.93941879272461,-80.21910858154297,20.27968978881836,True,,low-band fine; attempt 2/3
mic,1400.0,1.0,1406.25,-59.79747772216797,-104.27436065673828,44.47688293457031,True,,low-band fine; attempt 3/3
mic,1500.0,1.0,1531.25,-55.860313415527344,-75.73347473144531,19.87316131591797,True,,low-band fine; attempt 1/3
mic,1500.0,1.0,1531.25,-56.5233039855957,-70.676025390625,14.152721405029297,True,,low-band fine; attempt 2/3
mic,1500.0,1.0,1531.25,-56.67079162597656,-68.54692077636719,11.876129150390625,True,,low-band fine; attempt 3/3
mic,1600.0,1.0,1593.75,-73.02218627929688,-79.4444808959961,6.422294616699219,True,,low-band fine; attempt 1/3
mic,1600.0,1.0,1593.75,-72.70319366455078,-104.78683471679688,32.083641052246094,True,,low-band fine; attempt 2/3
mic,1600.0,1.0,1593.75,-70.30081939697266,-75.05615997314453,4.755340576171875,False,,low-band fine; attempt 3/3
mic,1700.0,1.0,1718.75,-59.67988967895508,-68.34688568115234,8.666996002197266,True,,low-band fine; attempt 1/3
mic,1700.0,1.0,1718.75,-59.416114807128906,-103.77412414550781,44.358009338378906,True,,low-band fine; attempt 2/3
mic,1700.0,1.0,1718.75,-59.34452438354492,-90.57353210449219,31.229007720947266,True,,low-band fine; attempt 3/3
mic,1800.0,1.0,1781.25,-54.76123809814453,-72.1787109375,17.41747283935547,True,,low-band fine; attempt 1/3
mic,1800.0,1.0,1781.25,-54.63926696777344,-73.0386734008789,18.39940643310547,True,,low-band fine; attempt 2/3
mic,1800.0,1.0,1781.25,-53.1345329284668,-60.370689392089844,7.236156463623047,True,,low-band fine; attempt 3/3
mic,1900.0,1.0,1906.25,-52.09577560424805,-87.27828216552734,35.1825065612793,True,,low-band fine; attempt 1/3
mic,1900.0,1.0,1906.25,-52.03082275390625,-94.06558990478516,42.034767150878906,True,,low-band fine; attempt 2/3
mic,1900.0,1.0,1906.25,-52.48480224609375,-72.1865463256836,19.701744079589844,True,,low-band fine; attempt 3/3
mic,7900.0,1.0,7906.25,-64.0940933227539,-74.71466827392578,10.620574951171875,True,,near-Nyquist fine; attempt 1/3
mic,7900.0,1.0,7906.25,-63.279029846191406,-103.67546844482422,40.39643859863281,True,,near-Nyquist fine; attempt 2/3
mic,7900.0,1.0,7906.25,-62.51561737060547,-83.20563507080078,20.690017700195312,True,,near-Nyquist fine; attempt 3/3
mic,7950.0,1.0,7968.75,-59.27897644042969,-72.27123260498047,12.992256164550781,True,,near-Nyquist fine; attempt 1/3
mic,7950.0,1.0,7968.75,-59.70711135864258,-72.73176574707031,13.024654388427734,True,,near-Nyquist fine; attempt 2/3
mic,7950.0,1.0,7968.75,-59.973976135253906,-103.36056518554688,43.38658905029297,True,,near-Nyquist fine; attempt 3/3
mic,7975.0,1.0,7968.75,-60.90263366699219,-104.15030670166016,43.24767303466797,True,,near-Nyquist fine; attempt 1/3
mic,7975.0,1.0,7968.75,-60.448387145996094,-73.28619384765625,12.837806701660156,True,,near-Nyquist fine; attempt 2/3
mic,7975.0,1.0,7968.75,-60.200347900390625,-71.35173034667969,11.151382446289062,True,,near-Nyquist fine; attempt 3/3
mic,8000.0,1.0,7968.75,-62.815155029296875,-85.94184112548828,23.126686096191406,True,,near-Nyquist fine; attempt 1/3
mic,8000.0,1.0,7968.75,-74.68537139892578,-103.42887115478516,28.743499755859375,True,,near-Nyquist fine; attempt 2/3
mic,8000.0,1.0,7968.75,-59.85027313232422,-77.41913604736328,17.568862915039062,True,,near-Nyquist fine; attempt 3/3
