channel,requested_freq_hz,requested_level,peak_bin_freq_hz,peak_bin_db,noise_floor_db,snr_db,locked,spec_avg_n,notes
mic,100.0,1.0,31.25,-84.05892181396484,-103.48799133300781,19.42906951904297,False,,low-band fine; attempt 1/3
mic,100.0,1.0,31.25,-82.05819702148438,-104.1378173828125,22.079620361328125,False,,low-band fine; attempt 2/3
mic,100.0,1.0,31.25,-83.80833435058594,-103.44593048095703,19.637596130371094,False,,low-band fine; attempt 3/3
mic,200.0,1.0,218.75,-81.50028228759766,-103.48532104492188,21.98503875732422,True,,low-band fine; attempt 1/3
mic,200.0,1.0,218.75,-80.20829010009766,-103.63713073730469,23.42884063720703,True,,low-band fine; attempt 2/3
mic,200.0,1.0,218.75,-80.78761291503906,-103.40272521972656,22.6151123046875,True,,low-band fine; attempt 3/3
mic,300.0,1.0,281.25,-78.78297424316406,-104.14614868164062,25.363174438476562,True,,low-band fine; attempt 1/3
mic,300.0,1.0,281.25,-78.1507568359375,-103.85041046142578,25.69965362548828,True,,low-band fine; attempt 2/3
mic,300.0,1.0,281.25,-78.03205871582031,-104.10844421386719,26.076385498046875,True,,low-band fine; attempt 3/3
mic,400.0,1.0,406.25,-76.00102996826172,-103.48884582519531,27.487815856933594,True,,low-band fine; attempt 1/3
mic,400.0,1.0,406.25,-76.1098403930664,-104.26170349121094,28.15186309814453,True,,low-band fine; attempt 2/3
mic,400.0,1.0,406.25,-76.58963012695312,-104.70814514160156,28.118515014648438,True,,low-band fine; attempt 3/3
mic,500.0,1.0,531.25,-71.00420379638672,-103.92648315429688,32.922279357910156,True,,low-band fine; attempt 1/3
mic,500.0,1.0,531.25,-70.87765502929688,-104.5176010131836,33.63994598388672,True,,low-band fine; attempt 2/3
mic,500.0,1.0,531.25,-70.82293701171875,-103.57145690917969,32.74851989746094,True,,low-band fine; attempt 3/3
mic,600.0,1.0,593.75,-58.723899841308594,-103.89412689208984,45.17022705078125,True,,low-band fine; attempt 1/3
mic,600.0,1.0,593.75,-58.630470275878906,-104.05167388916016,45.42120361328125,True,,low-band fine; attempt 2/3
mic,600.0,1.0,593.75,-58.66614532470703,-104.78346252441406,46.11731719970703,True,,low-band fine; attempt 3/3
mic,700.0,1.0,718.75,-48.63081359863281,-103.81339263916016,55.182579040527344,True,,low-band fine; attempt 1/3
mic,700.0,1.0,718.75,-48.474647521972656,-104.0803451538086,55.60569763183594,True,,low-band fine; attempt 2/3
mic,700.0,1.0,718.75,-48.40659713745117,-103.76358795166016,55.356990814208984,True,,low-band fine; attempt 3/3
mic,800.0,1.0,781.25,-61.148223876953125,-100.02381896972656,38.87559509277344,True,,low-band fine; attempt 1/3
mic,800.0,1.0,781.25,-61.267417907714844,-104.0982437133789,42.83082580566406,True,,low-band fine; attempt 2/3
mic,800.0,1.0,781.25,-61.476234436035156,-103.81529998779297,42.33906555175781,True,,low-band fine; attempt 3/3
mic,900.0,1.0,906.25,-77.35359191894531,-104.18888092041016,26.835289001464844,True,,low-band fine; attempt 1/3
mic,900.0,1.0,906.25,-75.65562438964844,-104.47013092041016,28.81450653076172,True,,low-band fine; attempt 2/3
