channel,requested_freq_hz,requested_level,peak_bin_freq_hz,peak_bin_db,noise_floor_db,snr_db,locked,spec_avg_n,notes
mic,1300.0,1.0,1281.25,-66.65042114257812,-72.60765838623047,5.957237243652344,False,,floor(1300Hz) step 0 (~0 dB rel. amp=1.0); attempt 1/3
mic,1300.0,1.0,1281.25,-66.81278991699219,-74.36375427246094,7.55096435546875,True,,floor(1300Hz) step 0 (~0 dB rel. amp=1.0); attempt 2/3
mic,1300.0,1.0,1281.25,-67.73775482177734,-74.01709747314453,6.2793426513671875,True,,floor(1300Hz) step 0 (~0 dB rel. amp=1.0); attempt 3/3
mic,1300.0,0.7079,1281.25,-68.34317779541016,-78.31349182128906,9.970314025878906,True,,floor(1300Hz) step 1 (~-3 dB rel. amp=1.0); attempt 1/3
mic,1300.0,0.7079,1281.25,-68.76115417480469,-104.82011413574219,36.0589599609375,True,,floor(1300Hz) step 1 (~-3 dB rel. amp=1.0); attempt 2/3
mic,1300.0,0.7079,1281.25,-69.11292266845703,-73.8819351196289,4.769012451171875,False,,floor(1300Hz) step 1 (~-3 dB rel. amp=1.0); attempt 3/3
mic,1300.0,0.5011,1281.25,-67.12725830078125,-73.20979309082031,6.0825347900390625,True,,floor(1300Hz) step 2 (~-6 dB rel. amp=1.0); attempt 1/3
mic,1300.0,0.5011,1281.25,-68.4540023803711,-94.92279815673828,26.468795776367188,True,,floor(1300Hz) step 2 (~-6 dB rel. amp=1.0); attempt 2/3
mic,1300.0,0.5011,1281.25,-68.02722930908203,-76.42892456054688,8.401695251464844,True,,floor(1300Hz) step 2 (~-6 dB rel. amp=1.0); attempt 3/3
mic,1300.0,0.3547,1281.25,-65.0013656616211,-70.8057861328125,5.804420471191406,False,,floor(1300Hz) step 3 (~-9 dB rel. amp=1.0); attempt 1/3
mic,1300.0,0.3547,1281.25,-67.42296600341797,-74.13388061523438,6.710914611816406,True,,floor(1300Hz) step 3 (~-9 dB rel. amp=1.0); attempt 2/3
mic,1300.0,0.3547,1281.25,-68.15064239501953,-77.67217254638672,9.521530151367188,True,,floor(1300Hz) step 3 (~-9 dB rel. amp=1.0); attempt 3/3
mic,1300.0,0.2511,1281.25,-68.38395690917969,-93.02851867675781,24.644561767578125,True,,floor(1300Hz) step 4 (~-12 dB rel. amp=1.0); attempt 1/3
mic,1300.0,0.2511,1281.25,-67.92311096191406,-78.06489562988281,10.14178466796875,True,,floor(1300Hz) step 4 (~-12 dB rel. amp=1.0); attempt 2/3
mic,1300.0,0.2511,1281.25,-67.88558197021484,-75.06804656982422,7.182464599609375,True,,floor(1300Hz) step 4 (~-12 dB rel. amp=1.0); attempt 3/3
mic,1300.0,0.1778,1281.25,-68.40333557128906,-85.29166412353516,16.888328552246094,True,,floor(1300Hz) step 5 (~-15 dB rel. amp=1.0); attempt 1/3
mic,1300.0,0.1778,1281.25,-67.97159576416016,-104.34835815429688,36.37676239013672,True,,floor(1300Hz) step 5 (~-15 dB rel. amp=1.0); attempt 2/3
mic,1300.0,0.1778,1281.25,-66.5999755859375,-76.07682037353516,9.476844787597656,True,,floor(1300Hz) step 5 (~-15 dB rel. amp=1.0); attempt 3/3
mic,1300.0,0.1258,1281.25,-66.96165466308594,-72.90618133544922,5.944526672363281,False,,floor(1300Hz) step 6 (~-18 dB rel. amp=1.0); attempt 1/3
mic,1300.0,0.1258,1281.25,-67.60758209228516,-77.78377532958984,10.176193237304688,True,,floor(1300Hz) step 6 (~-18 dB rel. amp=1.0); attempt 2/3
mic,1300.0,0.1258,1281.25,-68.63410186767578,-83.15608978271484,14.521987915039062,True,,floor(1300Hz) step 6 (~-18 dB rel. amp=1.0); attempt 3/3
mic,1300.0,0.0891,1281.25,-67.39218139648438,-79.20663452148438,11.814453125,True,,floor(1300Hz) step 7 (~-21 dB rel. amp=1.0); attempt 1/3
mic,1300.0,0.0891,1281.25,-67.56317901611328,-74.51853942871094,6.955360412597656,True,,floor(1300Hz) step 7 (~-21 dB rel. amp=1.0); attempt 2/3
mic,1300.0,0.0891,2531.25,-65.51612854003906,-69.3428955078125,3.8267669677734375,False,,floor(1300Hz) step 7 (~-21 dB rel. amp=1.0); attempt 3/3
mic,1300.0,0.0631,1281.25,-67.87418365478516,-88.0648193359375,20.190635681152344,True,,floor(1300Hz) step 8 (~-24 dB rel. amp=1.0); attempt 1/3
mic,1300.0,0.0631,1281.25,-67.92292785644531,-103.81751251220703,35.89458465576172,True,,floor(1300Hz) step 8 (~-24 dB rel. amp=1.0); attempt 2/3
mic,1300.0,0.0631,1281.25,-67.95474243164062,-102.18545532226562,34.230712890625,True,,floor(1300Hz) step 8 (~-24 dB rel. amp=1.0); attempt 3/3
mic,1300.0,0.0446,1281.25,-67.13569641113281,-72.78407287597656,5.64837646484375,False,,floor(1300Hz) step 9 (~-27 dB rel. amp=1.0); attempt 1/3
mic,1300.0,0.0446,1281.25,-66.80707550048828,-76.56807708740234,9.761001586914062,True,,floor(1300Hz) step 9 (~-27 dB rel. amp=1.0); attempt 2/3
mic,1300.0,0.0446,1281.25,-67.99993896484375,-88.59931945800781,20.599380493164062,True,,floor(1300Hz) step 9 (~-27 dB rel. amp=1.0); attempt 3/3
mic,1300.0,0.0316,1281.25,-68.44670104980469,-75.42597961425781,6.979278564453125,True,,floor(1300Hz) step 10 (~-30 dB rel. amp=1.0); attempt 1/3
mic,1300.0,0.0316,1281.25,-69.64405822753906,-77.4832992553711,7.839241027832031,True,,floor(1300Hz) step 10 (~-30 dB rel. amp=1.0); attempt 2/3
mic,1300.0,0.0316,1281.25,-69.30535125732422,-81.36653137207031,12.061180114746094,True,,floor(1300Hz) step 10 (~-30 dB rel. amp=1.0); attempt 3/3
