channel,requested_freq_hz,requested_level,peak_bin_freq_hz,peak_bin_db,noise_floor_db,snr_db,locked,spec_avg_n,notes
mic,1300.0,1.0,1281.25,-65.60772705078125,-104.47666931152344,38.86894226074219,True,,floor(1300Hz) step 0 (~0 dB rel. amp=1.0); attempt 1/3
mic,1300.0,1.0,1281.25,-66.25264739990234,-104.58039855957031,38.32775115966797,True,,floor(1300Hz) step 0 (~0 dB rel. amp=1.0); attempt 2/3
mic,1300.0,1.0,1281.25,-66.144287109375,-104.1562728881836,38.011985778808594,True,,floor(1300Hz) step 0 (~0 dB rel. amp=1.0); attempt 3/3
mic,1300.0,0.7079,1281.25,-66.33226013183594,-104.57343292236328,38.241172790527344,True,,floor(1300Hz) step 1 (~-3 dB rel. amp=1.0); attempt 1/3
mic,1300.0,0.7079,1281.25,-66.38232421875,-104.63825225830078,38.25592803955078,True,,floor(1300Hz) step 1 (~-3 dB rel. amp=1.0); attempt 2/3
mic,1300.0,0.7079,1281.25,-66.37106323242188,-104.56353759765625,38.192474365234375,True,,floor(1300Hz) step 1 (~-3 dB rel. amp=1.0); attempt 3/3
mic,1300.0,0.5011,1281.25,-66.17940521240234,-105.13068389892578,38.95127868652344,True,,floor(1300Hz) step 2 (~-6 dB rel. amp=1.0); attempt 1/3
mic,1300.0,0.5011,1281.25,-66.1814956665039,-104.35005950927734,38.16856384277344,True,,floor(1300Hz) step 2 (~-6 dB rel. amp=1.0); attempt 2/3
mic,1300.0,0.5011,1281.25,-66.31171417236328,-104.94743347167969,38.635719299316406,True,,floor(1300Hz) step 2 (~-6 dB rel. amp=1.0); attempt 3/3
mic,1300.0,0.3547,1281.25,-66.04515075683594,-104.86573791503906,38.820587158203125,True,,floor(1300Hz) step 3 (~-9 dB rel. amp=1.0); attempt 1/3
mic,1300.0,0.3547,1281.25,-66.12036895751953,-104.45414733886719,38.333778381347656,True,,floor(1300Hz) step 3 (~-9 dB rel. amp=1.0); attempt 2/3
mic,1300.0,0.3547,1281.25,-66.27635955810547,-105.08169555664062,38.805335998535156,True,,floor(1300Hz) step 3 (~-9 dB rel. amp=1.0); attempt 3/3
mic,1300.0,0.2511,1281.25,-65.86518859863281,-104.637939453125,38.77275085449219,True,,floor(1300Hz) step 4 (~-12 dB rel. amp=1.0); attempt 1/3
mic,1300.0,0.2511,1281.25,-65.8003158569336,-104.4765853881836,38.67626953125,True,,floor(1300Hz) step 4 (~-12 dB rel. amp=1.0); attempt 2/3
mic,1300.0,0.2511,1281.25,-65.84293365478516,-104.32799530029297,38.48506164550781,True,,floor(1300Hz) step 4 (~-12 dB rel. amp=1.0); attempt 3/3
mic,1300.0,0.1778,1281.25,-65.64825439453125,-104.55462646484375,38.9063720703125,True,,floor(1300Hz) step 5 (~-15 dB rel. amp=1.0); attempt 1/3
mic,1300.0,0.1778,1281.25,-65.5009765625,-104.7829818725586,39.282005310058594,True,,floor(1300Hz) step 5 (~-15 dB rel. amp=1.0); attempt 2/3
mic,1300.0,0.1778,1281.25,-65.6115951538086,-104.69348907470703,39.08189392089844,True,,floor(1300Hz) step 5 (~-15 dB rel. amp=1.0); attempt 3/3
mic,1300.0,0.1258,1281.25,-65.64936065673828,-104.63436126708984,38.98500061035156,True,,floor(1300Hz) step 6 (~-18 dB rel. amp=1.0); attempt 1/3
mic,1300.0,0.1258,1281.25,-65.58837127685547,-105.06768035888672,39.47930908203125,True,,floor(1300Hz) step 6 (~-18 dB rel. amp=1.0); attempt 2/3
mic,1300.0,0.1258,1281.25,-65.52630615234375,-104.48500061035156,38.95869445800781,True,,floor(1300Hz) step 6 (~-18 dB rel. amp=1.0); attempt 3/3
mic,1300.0,0.0891,1281.25,-65.45514678955078,-104.97176361083984,39.51661682128906,True,,floor(1300Hz) step 7 (~-21 dB rel. amp=1.0); attempt 1/3
mic,1300.0,0.0891,1281.25,-65.59451293945312,-104.79659271240234,39.20207977294922,True,,floor(1300Hz) step 7 (~-21 dB rel. amp=1.0); attempt 2/3
mic,1300.0,0.0891,1281.25,-65.54225158691406,-105.00152587890625,39.45927429199219,True,,floor(1300Hz) step 7 (~-21 dB rel. amp=1.0); attempt 3/3
mic,1300.0,0.0631,1281.25,-65.53060913085938,-104.86456298828125,39.333953857421875,True,,floor(1300Hz) step 8 (~-24 dB rel. amp=1.0); attempt 1/3
mic,1300.0,0.0631,1281.25,-65.60362243652344,-105.35054016113281,39.746917724609375,True,,floor(1300Hz) step 8 (~-24 dB rel. amp=1.0); attempt 2/3
mic,1300.0,0.0631,1281.25,-65.6135482788086,-104.51040649414062,38.89685821533203,True,,floor(1300Hz) step 8 (~-24 dB rel. amp=1.0); attempt 3/3
mic,1300.0,0.0446,1281.25,-65.03146362304688,-105.45294952392578,40.421485900878906,True,,floor(1300Hz) step 9 (~-27 dB rel. amp=1.0); attempt 1/3
mic,1300.0,0.0446,1281.25,-63.31327819824219,-105.35841369628906,42.045135498046875,True,,floor(1300Hz) step 9 (~-27 dB rel. amp=1.0); attempt 2/3
mic,1300.0,0.0446,1281.25,-63.367713928222656,-104.4540786743164,41.08636474609375,True,,floor(1300Hz) step 9 (~-27 dB rel. amp=1.0); attempt 3/3
mic,1300.0,0.0316,1281.25,-67.5241928100586,-104.49488830566406,36.97069549560547,True,,floor(1300Hz) step 10 (~-30 dB rel. amp=1.0); attempt 1/3
mic,1300.0,0.0316,1281.25,-67.65025329589844,-104.77108764648438,37.12083435058594,True,,floor(1300Hz) step 10 (~-30 dB rel. amp=1.0); attempt 2/3
mic,1300.0,0.0316,1281.25,-67.89508819580078,-104.86339569091797,36.96830749511719,True,,floor(1300Hz) step 10 (~-30 dB rel. amp=1.0); attempt 3/3
