channel,requested_freq_hz,requested_level,peak_bin_freq_hz,peak_bin_db,noise_floor_db,snr_db,locked,spec_avg_n,notes
mic,1000.0,1.0,1031.25,-65.66839599609375,-69.30878448486328,3.6403884887695312,False,,floor step 0 (~0 dB rel. amp=1.0); attempt 1/3
mic,1000.0,1.0,31.25,-71.1141357421875,-80.59593200683594,9.481796264648438,False,,floor step 0 (~0 dB rel. amp=1.0); attempt 2/3
mic,1000.0,1.0,31.25,-69.47218322753906,-80.44200897216797,10.969825744628906,False,,floor step 0 (~0 dB rel. amp=1.0); attempt 3/3
mic,1000.0,0.7079,5406.25,-60.36137008666992,-62.73800277709961,2.3766326904296875,False,,floor step 1 (~-3 dB rel. amp=1.0); attempt 1/3
mic,1000.0,0.7079,31.25,-70.3191909790039,-76.50092315673828,6.181732177734375,False,,floor step 1 (~-3 dB rel. amp=1.0); attempt 2/3
mic,1000.0,0.7079,31.25,-72.56770324707031,-79.96460723876953,7.396903991699219,False,,floor step 1 (~-3 dB rel. amp=1.0); attempt 3/3
mic,1000.0,0.5011,31.25,-67.5035171508789,-76.05091094970703,8.547393798828125,False,,floor step 2 (~-6 dB rel. amp=1.0); attempt 1/3
mic,1000.0,0.5011,31.25,-70.85084533691406,-74.21515655517578,3.3643112182617188,False,,floor step 2 (~-6 dB rel. amp=1.0); attempt 2/3
mic,1000.0,0.5011,31.25,-69.15658569335938,-80.86605834960938,11.70947265625,False,,floor step 2 (~-6 dB rel. amp=1.0); attempt 3/3
mic,1000.0,0.3547,31.25,-68.70269012451172,-76.32408905029297,7.62139892578125,False,,floor step 3 (~-9 dB rel. amp=1.0); attempt 1/3
mic,1000.0,0.3547,31.25,-70.43254089355469,-74.27957153320312,3.8470306396484375,False,,floor step 3 (~-9 dB rel. amp=1.0); attempt 2/3
mic,1000.0,0.3547,31.25,-67.81149291992188,-73.28266143798828,5.471168518066406,False,,floor step 3 (~-9 dB rel. amp=1.0); attempt 3/3
mic,1000.0,0.2511,31.25,-65.9412612915039,-78.78075408935547,12.839492797851562,False,,floor step 4 (~-12 dB rel. amp=1.0); attempt 1/3
mic,1000.0,0.2511,31.25,-68.44522094726562,-73.8703842163086,5.425163269042969,False,,floor step 4 (~-12 dB rel. amp=1.0); attempt 2/3
mic,1000.0,0.2511,31.25,-68.9171142578125,-78.9551010131836,10.037986755371094,False,,floor step 4 (~-12 dB rel. amp=1.0); attempt 3/3
mic,1000.0,0.1778,31.25,-68.50276947021484,-81.82632446289062,13.323554992675781,False,,floor step 5 (~-15 dB rel. amp=1.0); attempt 1/3
mic,1000.0,0.1778,156.25,-70.10157775878906,-76.42243194580078,6.320854187011719,False,,floor step 5 (~-15 dB rel. amp=1.0); attempt 2/3
mic,1000.0,0.1778,31.25,-70.68431091308594,-75.91244506835938,5.2281341552734375,False,,floor step 5 (~-15 dB rel. amp=1.0); attempt 3/3
mic,1000.0,0.1258,31.25,-69.82865142822266,-78.68187713623047,8.853225708007812,False,,floor step 6 (~-18 dB rel. amp=1.0); attempt 1/3
mic,1000.0,0.1258,31.25,-67.0212173461914,-78.92171478271484,11.900497436523438,False,,floor step 6 (~-18 dB rel. amp=1.0); attempt 2/3
mic,1000.0,0.1258,6906.25,-63.7791748046875,-68.39872741699219,4.6195526123046875,False,,floor step 6 (~-18 dB rel. amp=1.0); attempt 3/3
mic,1000.0,0.0891,31.25,-79.10128021240234,-104.29557800292969,25.194297790527344,False,,floor step 7 (~-21 dB rel. amp=1.0); attempt 1/3
mic,1000.0,0.0891,31.25,-80.17401885986328,-104.40304565429688,24.229026794433594,False,,floor step 7 (~-21 dB rel. amp=1.0); attempt 2/3
mic,1000.0,0.0891,31.25,-80.33370971679688,-105.24998474121094,24.916275024414062,False,,floor step 7 (~-21 dB rel. amp=1.0); attempt 3/3
mic,1000.0,0.0631,31.25,-79.90691375732422,-104.67179107666016,24.764877319335938,False,,floor step 8 (~-24 dB rel. amp=1.0); attempt 1/3
mic,1000.0,0.0631,31.25,-78.51302337646484,-104.919189453125,26.406166076660156,False,,floor step 8 (~-24 dB rel. amp=1.0); attempt 2/3
mic,1000.0,0.0631,31.25,-76.71368408203125,-104.61547088623047,27.90178680419922,False,,floor step 8 (~-24 dB rel. amp=1.0); attempt 3/3
mic,1000.0,0.0446,31.25,-71.78605651855469,-105.42829895019531,33.642242431640625,False,,floor step 9 (~-27 dB rel. amp=1.0); attempt 1/3
mic,1000.0,0.0446,31.25,-78.37278747558594,-105.53856658935547,27.16577911376953,False,,floor step 9 (~-27 dB rel. amp=1.0); attempt 2/3
mic,1000.0,0.0446,31.25,-75.25457763671875,-104.5093994140625,29.25482177734375,False,,floor step 9 (~-27 dB rel. amp=1.0); attempt 3/3
mic,1000.0,0.0316,31.25,-75.1130599975586,-105.20823669433594,30.095176696777344,False,,floor step 10 (~-30 dB rel. amp=1.0); attempt 1/3
mic,1000.0,0.0316,31.25,-79.89368438720703,-105.1728515625,25.27916717529297,False,,floor step 10 (~-30 dB rel. amp=1.0); attempt 2/3
mic,1000.0,0.0316,31.25,-82.12749481201172,-104.87084197998047,22.74334716796875,False,,floor step 10 (~-30 dB rel. amp=1.0); attempt 3/3
